DatapointID, DatapointName, DatapointCategory,DatapointDescription,Related To,
2,"""Job Title""","""Individual Prospect""","""Add here: description of job titles, and point to longer blog posts or objects about things like job title drift""","""add research use-cases or research obstacles here""",
3,"""Company Name""","""CompanyDatapoints""",,,
4,"""Company Type""","""CompanyDatapoints""","""E.g. Public, Private""",,
5,"""Global Duns No Number""","""CompanyDatapoints""",,,
6,"""Global Name""","""CompanyDatapoints""",,,
7,"""Line of Business""","""CompanyDatapoints""","""E.g. Holding Company, Primary Nonferrous Metal Producer""",,
8,"""Company Phone Number""","""CompanyDatapoints""",,,
9,"""URL""","""CompanyDatapoints""",,,
10,"""Subsidiary Status""","""CompanyDatapoints""","""Subsidiary or Non-Subsidiary""",,
11,"""Former Name""","""CompanyDatapoints""",,,
12,"""Headquarters Location""","""CompanyDatapoints""",,,
13,"""Primary NAICS Code""","""CompanyDatapoints""",,,
14,"""Primary NAICS Description""","""CompanyDatapoints""","""E.g. Nonferrous Metal (except Aluminum) Smelting and Refining""",,
15,"""Company Sales""","""CompanyDatapoints""",,,
16,"""Number of Employees All Sites""","""CompanyDatapoints""",,,
17,"""Number of Employees this Site""","""CompanyDatapoints""",,,
18,"""Total Company Assets""","""CompanyDatapoints""",,,
19,"""Total Revenue""","""CompanyDatapoints""",,,
20,"""Total Liabilities""","""CompanyDatapoints""",,,
21,"""Chief Executive""","""CompanyDatapoints""",,,
22,"""Year of Founding""","""CompanyDatapoints""",,,
23,"""D-U-N-S@ Number""","""CompanyDatapoints""","""A D U N S number is a free nine digit identifier issued by Dun and Bradstreet to identify a specific business entity at a specific location worldwide
It is not required by law and it does not create a companys legal existence
A company may have multiple D U N S numbers for subsidiaries branches or locations
The number itself is not confidential and is meant to be shared
Companies do not pay to receive a D U N S number but data products built on it often cost money
D U N S numbers are widely used by financial data providers governments banks procurement platforms and technology companies
They act as a stable global reference key to organize company data and corporate hierarchies
They are sometimes compared to a social security number for a company but the comparison is only loosely accurate""
",,
24,"""Domestic Parent Duns Number""","""CompanyDatapoints""",,,
25,"""Domestic Parent Name""","""CompanyDatapoints""",,,
26,"""Minority Owned Indicator""","""CompanyDatapoints""",,,
27,"""Manufacturing Indicator""","""CompanyDatapoints""",,,
28,"""Company Financial Strength""","""CompanyDatapoints""","This is not a well-defined metric, but with the Valueline tool, they use a letter grading system in their company financial health analysis (e.g. B+) which could be useful when glancing at a public company, or writing an overview.",,
29,"""Last Reported Employees""","""CompanyDatapoints""",,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
,,,,,
