JobID,Year,Salary,Estimate_Boolean,Title,Org Type,Location
1001,2012,"$42,304.85 ",,Prospect Research Specialist,Higher Ed,IN
1002,2012,"$19,715.23 ",,Recp Prospect Research Asst,Higher Ed,IN
1003,2013,"$30,978.60 ",,Recp Prospect Research Asst,Higher Ed,IN
1004,2013,"$43,593.42 ",,Prospect Research Specialist,Higher Ed,IN
1005,2013,"$25,759.79 ",,Recp Prospect Research Asst,Higher Ed,IN
1006,2014,"$44,904.02 ",,Prospect Research Specialist,Higher Ed,IN
1007,2014,"$30,996.00 ",,Recp Prospect Research Asst,Higher Ed,IN
1008,2014,"$31,756.87 ",,Recp Prospect Research Asst,Higher Ed,IN
1009,2014,"$17,784.57 ",,Prospect Research Asst Recp,Higher Ed,IN
1010,2014,"$56,736.44 ",,Associate Director - Development-Prospect Research,Higher Ed,UT
1011,2014,"$37,115.36 ",,Analyst - Data And Prospect Research,Higher Ed,UT
1012,2014,"$26,260.08 ",,Prospect Research & Management Coordinator,Higher Ed,UT
1013,2015,"$46,068.16 ",,Prospect Research Specialist,Higher Ed,IN
1014,2015,"$30,456.83 ",,Prospect Research Asst Recp,Higher Ed,IN
1015,2015,"$58,750.08 ",,Associate Director - Development-Prospect Research,Higher Ed,UT
1016,2015,"$43,527.96 ",,Annual Giving & Prospect Management Coordinator,Higher Ed,UT
1017,2015,"$23,458.72 ",,Analyst 1 - Data And Prospect Research,Higher Ed,UT
1018,2015,"$13,525.60 ",,Analyst 1 - Data And Prospect Research,Higher Ed,UT
1019,2016,"$47,085.21 ",,Prospect Research Specialist,Higher Ed,IN
1020,2016,"$32,337.73 ",,Prospect Research Asst Recp,Higher Ed,IN
1021,2016,"$59,925.12 ",,Associate Director - Development-Prospect Research,Higher Ed,UT
1022,2016,"$45,829.32 ",,Annual Giving & Prospect Management Coordinator,Higher Ed,UT
1023,2016,"$35,892.00 ",,Analyst 1 - Data And Prospect Research,Higher Ed,UT
1024,2016,"$31,636.28 ",,Assistant - Data & Prospect Research,Higher Ed,UT
1025,2017,"$48,348.00 ",,Prospect Research Analyst,Higher Ed,NV
1026,2017,"$63,968.00 ",,Prospect Research Analyst,Higher Ed,NV
